,country,GWP_import,year,GWP_export
40,TR,84074556445.3,2003,45850438725.4
41,TW,107545978730.0,2003,110599955702.0
42,US,1546066104100.0,2003,462775028033.0
43,WA,568299437257.0,2003,868745170084.0
44,WE,114675126734.0,2003,185633631795.0
45,WF,173470770389.0,2003,375840347627.0
46,WL,189288337974.0,2003,357225662944.0
47,WM,286465311182.0,2003,652786687095.0
48,ZA,26373858658.9,2003,116822787733.0
0,AT,50952102812.2,2004,18697404886.3
1,AU,144559805947.0,2004,176925093933.0
2,BE,89933683051.9,2004,54458445255.2
3,BG,11587758824.0,2004,15839924070.5
4,BR,82349975295.0,2004,165522588634.0
5,CA,162383893193.0,2004,224258516488.0
6,CH,70438800106.5,2004,16263525065.4
7,CN,456163881785.0,2004,1200188170850.0
8,CY,12052246156.9,2004,3288853627.33
9,CZ,40728540452.6,2004,37613959907.7
10,DE,407780027554.0,2004,231657886562.0
11,DK,42819625006.3,2004,26880666369.2
12,EE,6770448463.02,2004,6577688113.6
13,ES,199154163549.0,2004,80480385014.6
14,FI,45010910479.7,2004,25625418548.6
15,FR,313603058734.0,2004,104909358726.0
16,GB,409178891133.0,2004,141998216198.0
17,GR,59470927427.0,2004,28411262668.7
18,HR,17358653481.6,2004,5945680405.56
19,HU,47951385289.1,2004,14516357216.6
20,ID,85418915315.4,2004,145716716975.0
21,IE,48019073816.5,2004,30547858202.1
22,IN,151040800197.0,2004,248423608721.0
23,IT,318946430817.0,2004,94377212718.4
24,JP,523256471259.0,2004,216276203362.0
25,KR,211406116768.0,2004,135964565544.0
26,LT,10788541674.3,2004,4106496823.52
27,LU,6745401287.83,2004,5480439268.7
28,LV,8861154393.07,2004,2976269105.7
29,MT,2855111380.94,2004,857970012.985
30,MX,127820350383.0,2004,96814069424.1
31,NL,152788604037.0,2004,88206619365.4
32,NO,46129648688.4,2004,43501913692.7
33,PL,71807082274.1,2004,79474448524.9
34,PT,41489008764.3,2004,13044020136.5
35,RO,32243139407.6,2004,32153494638.4
36,RU,154858945841.0,2004,805443754531.0
37,SE,56944048958.7,2004,24284224203.6
38,SI,11461511921.5,2004,5606260809.92
39,SK,30270497867.9,2004,13660770952.6
40,TR,96739632443.1,2004,47580501063.2
41,TW,133436409634.0,2004,106654386435.0
42,US,1652509168710.0,2004,452766990057.0
43,WA,657353580704.0,2004,1134013161250.0
44,WE,119245345763.0,2004,202690380686.0
45,WF,181419889498.0,2004,374180413703.0
46,WL,210359090005.0,2004,400591711456.0
47,WM,351976252087.0,2004,689955932064.0
48,ZA,34374289588.3,2004,125403495960.0
0,AT,52817479113.0,2005,19467477686.7
1,AU,162163662934.0,2005,151608017644.0
2,BE,95081073887.4,2005,53254736171.0
3,BG,13608518320.7,2005,15038746769.6
4,BR,84952059420.3,2005,163209331569.0
5,CA,185977328633.0,2005,220967236937.0
6,CH,83898637674.5,2005,18311064244.2
7,CN,467785940687.0,2005,1579084277970.0
8,CY,9068583333.67,2005,2718533611.73
9,CZ,33160761593.0,2005,45183676484.6
10,DE,426940434163.0,2005,248121489833.0
11,DK,44890846204.8,2005,28631775069.6
12,EE,7319127670.71,2005,7113862254.54
13,ES,217547451776.0,2005,86410817313.5
14,FI,49815768357.6,2005,24709993060.2
15,FR,316684371002.0,2005,107284049934.0
16,GB,418735958167.0,2005,149745063557.0
17,GR,63698976223.0,2005,29960508100.7
18,HR,20945197886.1,2005,5960623720.97
19,HU,57933804499.4,2005,14519469199.3
20,ID,95844325582.2,2005,166605419699.0
21,IE,51433880390.1,2005,32277563846.0
22,IN,189302955683.0,2005,271442618225.0
23,IT,328924578296.0,2005,99518931078.4
24,JP,553426100146.0,2005,246402479570.0
25,KR,229109519696.0,2005,139547185536.0
